기준년월,제주 대분류,제주 중분류,업종명,성별,연령대별,year,month,카드이용금액
2016-04-01,제주시,이도2동,슈퍼마켓,남,50대,2016,4,23593967.275881883
2016-04-01,제주시,이도2동,슈퍼마켓,여,30대,2016,4,24662693.422932524
2016-04-01,서귀포시,남원읍,기념품점,남,30대,2016,4,1000760.260097871
2016-04-01,제주시,용담2동,스포츠레져용품,남,30대,2016,4,874155.0511213148
2016-04-01,제주시,연동,기념품점,여,20대,2016,4,3436075.2571452735
2016-04-01,제주시,애월읍,농축수산품,여,30대,2016,4,3225446.147789457
2016-04-01,제주시,삼도2동,스포츠레져용품,여,20대,2016,4,1747086.27725463
2016-04-01,서귀포시,대륜동,스넥,남,40대,2016,4,410835.0221347577
2016-04-01,제주시,삼도2동,농축수산품,여,20대,2016,4,487117.4486042748
2016-04-01,제주시,노형동,기타음료식품,여,50대,2016,4,1727508.170794159
2016-04-01,제주시,이도2동,농축수산품,여,20대,2016,4,3308595.368462856
2016-04-01,제주시,노형동,의원,여,30대,2016,4,9428173.704546725
2016-04-01,제주시,연동,기념품점,여,40대,2016,4,2240332.2135421536
2016-04-01,제주시,연동,기타음료식품,남,30대,2016,4,489221.3872148066
2016-04-01,제주시,용담2동,기념품점,남,40대,2016,4,38410809.72861269
2016-04-01,제주시,노형동,의원,여,40대,2016,4,6266272.083629439
2016-04-01,제주시,이도2동,슈퍼마켓,남,30대,2016,4,30184409.6845649
2016-04-01,서귀포시,남원읍,기타음료식품,남,30대,2016,4,2105366.722054863
2016-04-01,제주시,연동,농축수산품,여,20대,2016,4,1717902.5657526413
2016-04-01,서귀포시,성산읍,의원,여,40대,2016,4,300050.65457273426
2016-04-01,서귀포시,예래동,기타음료식품,남,50대,2016,4,1233915.3807966388
2016-04-01,서귀포시,남원읍,기타음료식품,남,50대,2016,4,1848193.376997741
2016-04-01,제주시,노형동,의원,남,30대,2016,4,5888380.364092862
2016-04-01,제주시,용담2동,기념품점,여,40대,2016,4,33907420.097430974
2016-04-01,서귀포시,남원읍,기타음료식품,여,40대,2016,4,1616803.65328747
2016-04-01,서귀포시,예래동,기타음료식품,남,20대,2016,4,910660.869778943
2016-04-01,제주시,연동,의원,여,40대,2016,4,1983630.3267368802
2016-04-01,제주시,용담2동,기념품점,남,30대,2016,4,39989021.33195153
2016-04-01,제주시,연동,기념품점,남,20대,2016,4,2710406.735658603
2016-04-01,서귀포시,성산읍,스포츠레져용품,남,40대,2016,4,446567.503163909
2016-04-01,제주시,애월읍,기타음료식품,남,40대,2016,4,191323.43678813364
2016-04-01,제주시,용담2동,의원,여,20대,2016,4,458819.55590117583
2016-04-01,제주시,용담2동,기념품점,여,30대,2016,4,42286522.74330361
